PAH_num,Name,Formula,CAS,SMILES,InChIKey,Molar_Mass_g_mol,Length_A,Width_A,Length_to_Width_Ratio,Vertical_IE_eV,Dipole_Moment_Debye
286,"Dibenzo[a,c]tetraphene",C26H16,53156-67-5,c1ccc2c(c1)cc1c(c2)ccc2c1c1c(cccc1)c1c2cccc1,JCHTUDMXWBJCEO-UHFFFAOYSA-N,328.405,15.88,10.4,1.527,5.2083,521.6924
287,Benzo[f]picene,C26H16,58029-47-3,c1ccc2c(c1)c1c(cc2)c2c(cc1)c1c(c3c2cccc3)cccc1,ZSGLKCYHQXQYOW-UHFFFAOYSA-N,328.405,15.82,10.45,1.514,5.5892,507.658
288,Benzo[s]picene,C26H16,31540-94-0,c1ccc2c(c1)c1c(cc2)c2c(c3c1cccc3)c1c(cc2)cccc1,VEPXTABLWURNHE-UHFFFAOYSA-N,328.405,16.01,10.47,1.529,5.5103,509.1988
289,Benzo[a]pentaphene,C26H16,7689-57-8,c1ccc2c(c1)cc1c(c2)ccc2c1cc1c(c2)ccc2c1cccc2,BRPWPKAUGQCZPI-UHFFFAOYSA-N,328.405,16.14,10.72,1.505,5.4096,361.3633
290,"Naphtho[1,2-a]naphthacene",C26H16,58029-39-3,c1ccc2c(c1)cc1c(c2)cc2c(c1)c1c(cc2)ccc2c1cccc2,IQHSIXFTHHMAIW-UHFFFAOYSA-N,328.405,16.15,10.32,1.564,4.9661,585.4603
291,"Benzo[a]naphtho[1,2-h]anthracene",C26H16,18429-26-0,c1cccc2c1ccc1c2cc2c(c1)c1c(cc2)ccc2c1cccc2,XHWOHWFRERPDAZ-UHFFFAOYSA-N,328.405,16.3,10.15,1.606,5.3552,560.5751
292,Benzo[a]picene,C26H16,580294-51-1,c1ccc2c(c1)c1c(cc2)c2c(cc1)c1c(cc2)ccc2c1cccc2,MNLVNTCOPRDBLJ-UHFFFAOYSA-N,328.405,16.23,9.985,1.625,5.5266,550.0144
293,"Dibenzo[c,l]chrysene",C26H16,42850-69-1,c1cccc2c1c1c(cc2)ccc2c1ccc1c2c2c(cc1)cccc2,SOIXGBGHVSXNKH-UHFFFAOYSA-N,328.405,15.73,9.358,1.68,5.5103,542.6772
294,"Naphtho[1,2-c]chrysene",C26H16,58029-46-2,c1ccc2c(c1)c1c(cc2)c2c(cc1)ccc1c2ccc2c1cccc2,WZZOGANLFXMPJK-UHFFFAOYSA-N,328.405,16.77,9.38,1.788,5.4967,575.6892
295,"Naphtho[2,1-b]chrysene",C26H16,58029-43-9,c1cc2c(cc1)c1c(cc2)cc2c(c1)c1c(cc2)c2c(cc1)cccc2,WCHUAFVNAGHGIM-UHFFFAOYSA-N,328.405,16.62,9.513,1.747,5.3688,561.4828
